title,keywords,keywordWeights
16th_century,th,0.47
16th_century,portuguese,0.142
16th_century,spanish,0.127
16th_century,empire,0.124
16th_century,england,0.121
16th_century,rd,0.115
16th_century,nd,0.113
16th_century,ottoman,0.11
16th_century,king,0.099
1755_Lisbon_earthquake,earthquake,0.623
1755_Lisbon_earthquake,lisbon,0.614
1755_Lisbon_earthquake,tsunami,0.146
1755_Lisbon_earthquake,kant,0.123
1755_Lisbon_earthquake,ruins,0.109
1755_Lisbon_earthquake,earthquakes,0.093
1755_Lisbon_earthquake,voltaire,0.09
1755_Lisbon_earthquake,city,0.085
1755_Lisbon_earthquake,king,0.081
1755_Lisbon_earthquake,portugal,0.072
17th_century,bc,0.567
17th_century,th,0.459
17th_century,dutch,0.204
17th_century,england,0.163
17th_century,mathematician,0.134
17th_century,philosopher,0.128
17th_century,france,0.127
17th_century,poet,0.123
17th_century,french,0.119
17th_century,nd,0.119
1896_Summer_Olympics,olympic,0.321
1896_Summer_Olympics,games,0.298
1896_Summer_Olympics,event,0.233
1896_Summer_Olympics,olympics,0.232
1896_Summer_Olympics,athens,0.224
1896_Summer_Olympics,greek,0.215
1896_Summer_Olympics,athletes,0.211
1896_Summer_Olympics,won,0.189
1896_Summer_Olympics,stadium,0.163
1896_Summer_Olympics,held,0.152
18th_century,bc,0.509
18th_century,th,0.395
18th_century,french,0.272
18th_century,writer,0.207
18th_century,composer,0.159
18th_century,mathematician,0.154
18th_century,philosopher,0.144
18th_century,british,0.126
18th_century,shah,0.117
18th_century,painter,0.115
1928_Okeechobee_Hurricane,hurricane,0.661
1928_Okeechobee_Hurricane,storm,0.352
1928_Okeechobee_Hurricane,florida,0.197
1928_Okeechobee_Hurricane,rico,0.191
1928_Okeechobee_Hurricane,winds,0.19
1928_Okeechobee_Hurricane,puerto,0.178
1928_Okeechobee_Hurricane,damage,0.116
1928_Okeechobee_Hurricane,damages,0.114
1928_Okeechobee_Hurricane,fatalities,0.109
1928_Okeechobee_Hurricane,guadeloupe,0.108
1973_oil_crisis,oil,0.691
1973_oil_crisis,price,0.269
1973_oil_crisis,arab,0.251
1973_oil_crisis,prices,0.154
1973_oil_crisis,crisis,0.117
1973_oil_crisis,energy,0.111
1973_oil_crisis,petroleum,0.102
1973_oil_crisis,nixon,0.099
1973_oil_crisis,saudi,0.098
1973_oil_crisis,world,0.094
1980_eruption_of_Mount_St._Helens,ash,0.466
1980_eruption_of_Mount_St._Helens,eruption,0.463
1980_eruption_of_Mount_St._Helens,km,0.195
1980_eruption_of_Mount_St._Helens,blast,0.187
1980_eruption_of_Mount_St._Helens,miles,0.182
1980_eruption_of_Mount_St._Helens,volcano,0.181
1980_eruption_of_Mount_St._Helens,feet,0.154
1980_eruption_of_Mount_St._Helens,dome,0.128
1980_eruption_of_Mount_St._Helens,eruptions,0.124
1980_eruption_of_Mount_St._Helens,st,0.112
1997_Pacific_hurricane_season,tropical,0.472
1997_Pacific_hurricane_season,hurricane,0.428
1997_Pacific_hurricane_season,storm,0.369
1997_Pacific_hurricane_season,depression,0.184
1997_Pacific_hurricane_season,hpa,0.181
1997_Pacific_hurricane_season,mbar,0.179
1997_Pacific_hurricane_season,intensity,0.165
1997_Pacific_hurricane_season,pacific,0.161
1997_Pacific_hurricane_season,season,0.156
1997_Pacific_hurricane_season,dissipated,0.149
19th_century,bc,0.443
19th_century,th,0.398
19th_century,physicist,0.191
19th_century,war,0.177
19th_century,century,0.132
19th_century,empire,0.117
19th_century,philosopher,0.113
19th_century,friedrich,0.11
19th_century,chemist,0.108
19th_century,mathematician,0.105
1_Ceres,ceres,0.893
1_Ceres,asteroid,0.162
1_Ceres,planet,0.132
1_Ceres,orbit,0.101
1_Ceres,telescope,0.094
1_Ceres,mars,0.09
1_Ceres,resolution,0.088
1_Ceres,hubble,0.085
1_Ceres,images,0.075
1_Ceres,km,0.071
1st_century,bc,0.805
1st_century,th,0.464
1st_century,rd,0.125
1st_century,st,0.122
1st_century,nd,0.122
1st_century,augustus,0.064
1st_century,rome,0.062
1st_century,jerusalem,0.062
1st_century,calendar,0.059
1st_century,tacitus,0.057
1st_century_BC,bc,0.973
1st_century_BC,th,0.164
1st_century_BC,roman,0.074
1st_century_BC,caesar,0.059
1st_century_BC,nd,0.049
1st_century_BC,st,0.047
1st_century_BC,rd,0.04
1st_century_BC,julius,0.038
1st_century_BC,cicero,0.028
1st_century_BC,century,0.028
2-6-0,locomotive,0.47
2-6-0,railroad,0.377
2-6-0,truck,0.302
2-6-0,built,0.273
2-6-0,jersey,0.216
2-6-0,leading,0.185
2-6-0,locomotives,0.162
2-6-0,wheels,0.154
2-6-0,railroads,0.149
2-6-0,train,0.138
2-8-0,locomotive,0.642
2-8-0,freight,0.322
2-8-0,railroad,0.28
2-8-0,prr,0.251
2-8-0,type,0.186
2-8-0,built,0.152
2-8-0,consolidation,0.116
2-8-0,railroads,0.111
2-8-0,railways,0.103
2-8-0,class,0.102
2003_Atlantic_hurricane_season,tropical,0.482
2003_Atlantic_hurricane_season,storm,0.421
2003_Atlantic_hurricane_season,hurricane,0.387
2003_Atlantic_hurricane_season,mph,0.205
2003_Atlantic_hurricane_season,mbar,0.185
2003_Atlantic_hurricane_season,isabel,0.167
2003_Atlantic_hurricane_season,depression,0.155
2003_Atlantic_hurricane_season,jpg,0.14
2003_Atlantic_hurricane_season,intensity,0.131
2003_Atlantic_hurricane_season,png,0.123
2004_Atlantic_hurricane_season,hurricane,0.552
2004_Atlantic_hurricane_season,tropical,0.366
2004_Atlantic_hurricane_season,storm,0.36
2004_Atlantic_hurricane_season,ivan,0.191
2004_Atlantic_hurricane_season,mbar,0.16
2004_Atlantic_hurricane_season,season,0.146
2004_Atlantic_hurricane_season,august,0.143
2004_Atlantic_hurricane_season,frances,0.141
2004_Atlantic_hurricane_season,charley,0.135
2004_Atlantic_hurricane_season,category,0.122
2004_Indian_Ocean_earthquake,tsunami,0.658
2004_Indian_Ocean_earthquake,earthquake,0.551
2004_Indian_Ocean_earthquake,ocean,0.13
2004_Indian_Ocean_earthquake,plate,0.124
2004_Indian_Ocean_earthquake,magnitude,0.113
2004_Indian_Ocean_earthquake,thailand,0.095
2004_Indian_Ocean_earthquake,sumatra,0.092
2004_Indian_Ocean_earthquake,lanka,0.084
2004_Indian_Ocean_earthquake,indian,0.084
2004_Indian_Ocean_earthquake,earthquakes,0.084
2005_Atlantic_hurricane_season,hurricane,0.674
2005_Atlantic_hurricane_season,storm,0.35
2005_Atlantic_hurricane_season,tropical,0.203
2005_Atlantic_hurricane_season,season,0.201
2005_Atlantic_hurricane_season,storms,0.191
2005_Atlantic_hurricane_season,katrina,0.162
2005_Atlantic_hurricane_season,hurricanes,0.157
2005_Atlantic_hurricane_season,landfall,0.152
2005_Atlantic_hurricane_season,category,0.128
2005_Atlantic_hurricane_season,atlantic,0.117
2005_Hertfordshire_Oil_Storage_Terminal_fire,explosion,0.337
2005_Hertfordshire_Oil_Storage_Terminal_fire,smoke,0.33
2005_Hertfordshire_Oil_Storage_Terminal_fire,fire,0.278
2005_Hertfordshire_Oil_Storage_Terminal_fire,tank,0.227
2005_Hertfordshire_Oil_Storage_Terminal_fire,fuel,0.175
2005_Hertfordshire_Oil_Storage_Terminal_fire,storage,0.173
2005_Hertfordshire_Oil_Storage_Terminal_fire,cloud,0.16
2005_Hertfordshire_Oil_Storage_Terminal_fire,fires,0.15
2005_Hertfordshire_Oil_Storage_Terminal_fire,depot,0.143
2005_Hertfordshire_Oil_Storage_Terminal_fire,terminal,0.141
2005_Kashmir_earthquake,earthquake,0.489
2005_Kashmir_earthquake,kashmir,0.418
2005_Kashmir_earthquake,pakistan,0.416
2005_Kashmir_earthquake,relief,0.247
2005_Kashmir_earthquake,pakistani,0.184
2005_Kashmir_earthquake,magnitude,0.151
2005_Kashmir_earthquake,rescue,0.136
2005_Kashmir_earthquake,indian,0.102
2005_Kashmir_earthquake,victims,0.099
2005_Kashmir_earthquake,october,0.098
2005_Lake_Tanganyika_earthquake,earthquake,0.391
2005_Lake_Tanganyika_earthquake,tanganyika,0.38
2005_Lake_Tanganyika_earthquake,damage,0.252
2005_Lake_Tanganyika_earthquake,lake,0.204
2005_Lake_Tanganyika_earthquake,felt,0.195
2005_Lake_Tanganyika_earthquake,congo,0.19
2005_Lake_Tanganyika_earthquake,reported,0.165
2005_Lake_Tanganyika_earthquake,houses,0.131
2005_Lake_Tanganyika_earthquake,far,0.123
2005_Lake_Tanganyika_earthquake,war,0.12
2005_Sumatra_earthquake,earthquake,0.641
2005_Sumatra_earthquake,tsunami,0.496
2005_Sumatra_earthquake,sumatra,0.25
2005_Sumatra_earthquake,ocean,0.14
2005_Sumatra_earthquake,indian,0.139
2005_Sumatra_earthquake,thailand,0.116
2005_Sumatra_earthquake,indonesian,0.109
2005_Sumatra_earthquake,lanka,0.099
2005_Sumatra_earthquake,damage,0.095
2005_Sumatra_earthquake,sri,0.095
20th_century,bc,0.556
20th_century,th,0.493
20th_century,century,0.226
20th_century,war,0.163
20th_century,world,0.125
20th_century,rd,0.107
20th_century,nd,0.105
20th_century,millennium,0.093
20th_century,diseases,0.093
20th_century,st,0.081
21st_century,mars,0.224
21st_century,president,0.217
21st_century,mercury,0.21
21st_century,transit,0.19
21st_century,set,0.18
21st_century,century,0.178
21st_century,conjunction,0.17
21st_century,triple,0.17
21st_century,jupiter,0.169
21st_century,prime,0.153
2nd_century,bc,0.764
2nd_century,th,0.542
2nd_century,nd,0.192
2nd_century,rd,0.148
2nd_century,st,0.1
2nd_century,ptolemy,0.059
2nd_century,rome,0.055
2nd_century,century,0.055
2nd_century,roman,0.055
2nd_century,wall,0.052
3_Juno,asteroids,0.424
3_Juno,asteroid,0.314
3_Juno,perihelion,0.187
3_Juno,au,0.185
3_Juno,surface,0.166
3_Juno,february,0.148
3_Juno,april,0.14
3_Juno,november,0.14
3_Juno,august,0.138
3_Juno,september,0.137
3rd_century,bc,0.76
3rd_century,th,0.548
3rd_century,rd,0.18
3rd_century,nd,0.144
3rd_century,st,0.089
3rd_century,alexandria,0.078
3rd_century,emperor,0.072
3rd_century,roman,0.068
3rd_century,century,0.064
3rd_century,mathematician,0.051
4-2-0,locomotive,0.731
4-2-0,driving,0.28
4-2-0,railroads,0.26
4-2-0,truck,0.176
4-2-0,design,0.175
4-2-0,weight,0.166
4-2-0,railroad,0.11
4-2-0,curves,0.095
4-2-0,reducing,0.095
4-2-0,locomotives,0.094
4-4-0,locomotive,0.679
4-4-0,railroad,0.28
4-4-0,locomotives,0.234
4-4-0,campbell,0.192
4-4-0,steam,0.169
4-4-0,railway,0.168
4-4-0,type,0.15
4-4-0,wheels,0.121
4-4-0,class,0.108
4-4-0,driving,0.095
4-6-0,locomotive,0.456
4-6-0,railroad,0.366
4-6-0,baldwin,0.273
4-6-0,erie,0.241
4-6-0,patent,0.229
4-6-0,built,0.176
4-6-0,steam,0.167
4-6-0,locomotives,0.157
4-6-0,reading,0.135
4-6-0,wheel,0.133
47_Ursae_Majoris,planet,0.434
47_Ursae_Majoris,planets,0.329
47_Ursae_Majoris,orbit,0.248
47_Ursae_Majoris,star,0.203
47_Ursae_Majoris,extrasolar,0.194
47_Ursae_Majoris,jupiter,0.191
47_Ursae_Majoris,solar,0.188
47_Ursae_Majoris,radial,0.176
47_Ursae_Majoris,sun,0.148
47_Ursae_Majoris,system,0.148
47_Ursae_Majoris_b,planet,0.479
47_Ursae_Majoris_b,extrasolar,0.374
47_Ursae_Majoris_b,planets,0.363
47_Ursae_Majoris_b,jupiter,0.253
47_Ursae_Majoris_b,star,0.252
47_Ursae_Majoris_b,orbit,0.196
47_Ursae_Majoris_b,mass,0.18
47_Ursae_Majoris_b,discovery,0.166
47_Ursae_Majoris_b,orbital,0.123
47_Ursae_Majoris_b,doppler,0.1
47_Ursae_Majoris_c,planet,0.598
47_Ursae_Majoris_c,extrasolar,0.311
47_Ursae_Majoris_c,orbital,0.287
47_Ursae_Majoris_c,jupiter,0.246
47_Ursae_Majoris_c,mass,0.21
47_Ursae_Majoris_c,radial,0.17
47_Ursae_Majoris_c,star,0.163
47_Ursae_Majoris_c,discovery,0.161
47_Ursae_Majoris_c,velocity,0.14
47_Ursae_Majoris_c,doppler,0.116
4_Vesta,asteroid,0.342
4_Vesta,asteroids,0.274
4_Vesta,hubble,0.248
4_Vesta,ceres,0.229
4_Vesta,telescope,0.219
4_Vesta,crater,0.218
4_Vesta,crust,0.217
4_Vesta,km,0.186
4_Vesta,surface,0.18
4_Vesta,images,0.142
4th_century,bc,0.757
4th_century,th,0.571
4th_century,rd,0.146
4th_century,nd,0.127
4th_century,st,0.088
4th_century,constantine,0.085
4th_century,century,0.063
4th_century,codex,0.062
4th_century,christian,0.06
4th_century,saint,0.05
55_Cancri,cancri,0.83
55_Cancri,planet,0.304
55_Cancri,planets,0.209
55_Cancri,star,0.156
55_Cancri,solar,0.115
55_Cancri,system,0.09
55_Cancri,radial,0.09
55_Cancri,measurements,0.085
55_Cancri,dwarf,0.079
55_Cancri,au,0.077
55_Cancri_b,cancri,0.767
55_Cancri_b,planet,0.421
55_Cancri_b,extrasolar,0.183
55_Cancri_b,jupiter,0.144
55_Cancri_b,star,0.134
55_Cancri_b,radial,0.133
55_Cancri_b,velocity,0.109
55_Cancri_b,mass,0.108
55_Cancri_b,discovery,0.094
55_Cancri_b,orbital,0.084
55_Cancri_c,cancri,0.833
55_Cancri_c,planet,0.329
55_Cancri_c,star,0.168
55_Cancri_c,extrasolar,0.128
55_Cancri_c,radial,0.117
55_Cancri_c,mass,0.108
55_Cancri_c,discovery,0.099
55_Cancri_c,planets,0.097
55_Cancri_c,velocity,0.096
55_Cancri_c,orbit,0.094
55_Cancri_d,cancri,0.715
55_Cancri_d,planet,0.395
55_Cancri_d,jupiter,0.244
55_Cancri_d,orbit,0.17
55_Cancri_d,star,0.162
55_Cancri_d,extrasolar,0.154
55_Cancri_d,radial,0.14
55_Cancri_d,measurements,0.138
55_Cancri_d,velocity,0.115
55_Cancri_d,discovery,0.1
55_Cancri_e,cancri,0.765
55_Cancri_e,planet,0.355
55_Cancri_e,neptune,0.216
55_Cancri_e,planets,0.172
55_Cancri_e,orbit,0.167
55_Cancri_e,extrasolar,0.163
55_Cancri_e,mass,0.137
55_Cancri_e,star,0.12
55_Cancri_e,radial,0.089
55_Cancri_e,gas,0.087
5th_century,bc,0.723
5th_century,th,0.561
5th_century,st,0.127
5th_century,rd,0.124
5th_century,nd,0.121
5th_century,rome,0.105
5th_century,augustine,0.078
5th_century,alexandria,0.074
5th_century,attila,0.067
5th_century,roman,0.065
6-2-0,locomotive,0.499
6-2-0,burn,0.282
6-2-0,stevens,0.273
6-2-0,truck,0.24
6-2-0,wheel,0.218
6-2-0,coal,0.2
6-2-0,railroad,0.2
6-2-0,driving,0.191
6-2-0,locomotives,0.172
6-2-0,specifications,0.169
6th_century,bc,0.724
6th_century,th,0.578
6th_century,rd,0.124
6th_century,nd,0.122
6th_century,st,0.106
6th_century,persia,0.094
6th_century,century,0.078
6th_century,china,0.071
6th_century,buddhist,0.068
6th_century,byzantine,0.067
7th_century,bc,0.736
7th_century,th,0.579
7th_century,rd,0.126
7th_century,nd,0.123
7th_century,qur,0.087
7th_century,st,0.086
7th_century,china,0.072
7th_century,century,0.07
7th_century,serbs,0.065
7th_century,islam,0.06
8th_century,bc,0.74
8th_century,th,0.582
8th_century,rd,0.127
8th_century,nd,0.124
8th_century,st,0.086
8th_century,century,0.071
8th_century,buddhist,0.07
8th_century,maya,0.058
8th_century,franks,0.058
8th_century,principality,0.058
90377_Sedna,au,0.366
90377_Sedna,object,0.309
90377_Sedna,objects,0.241
90377_Sedna,perihelion,0.228
90377_Sedna,pluto,0.218
90377_Sedna,orbit,0.212
90377_Sedna,eris,0.207
90377_Sedna,orbital,0.166
90377_Sedna,planet,0.162
90377_Sedna,sun,0.147
9th_century,bc,0.685
9th_century,th,0.577
9th_century,century,0.123
9th_century,rd,0.118
9th_century,nd,0.115
9th_century,st,0.08
9th_century,brass,0.071
9th_century,art,0.064
9th_century,roman,0.061
9th_century,ages,0.061
A._E._J._Collins,collins,0.753
A._E._J._Collins,innings,0.307
A._E._J._Collins,match,0.201
A._E._J._Collins,score,0.164
A._E._J._Collins,cricket,0.164
A._E._J._Collins,school,0.133
A._E._J._Collins,house,0.102
A._E._J._Collins,college,0.09
A._E._J._Collins,played,0.09
A._E._J._Collins,runs,0.083
ABO_blood_group_system,blood,0.799
ABO_blood_group_system,ab,0.354
ABO_blood_group_system,type,0.257
ABO_blood_group_system,group,0.146
ABO_blood_group_system,cells,0.119
ABO_blood_group_system,anti,0.106
ABO_blood_group_system,individuals,0.082
ABO_blood_group_system,types,0.074
ABO_blood_group_system,red,0.063
ABO_blood_group_system,population,0.061
AC_DC,album,0.39
AC_DC,ac,0.387
AC_DC,band,0.341
AC_DC,dc,0.335
AC_DC,malcolm,0.218
AC_DC,rock,0.203
AC_DC,young,0.194
AC_DC,scott,0.171
AC_DC,johnson,0.151
AC_DC,brian,0.133
AIDS,hiv,0.746
AIDS,aids,0.481
AIDS,infection,0.179
AIDS,infections,0.145
AIDS,infected,0.136
AIDS,disease,0.113
AIDS,patients,0.094
AIDS,immune,0.077
AIDS,cd,0.073
AIDS,therapy,0.063
AK-47,ak,0.822
AK-47,receiver,0.236
AK-47,rifle,0.21
AK-47,rifles,0.174
AK-47,automatic,0.131
AK-47,cartridge,0.12
AK-47,type,0.118
AK-47,barrel,0.099
AK-47,mm,0.097
AK-47,stock,0.093
ALCO_FA,railroad,0.665
ALCO_FA,fa,0.378
ALCO_FA,railway,0.287
ALCO_FA,locomotive,0.204
ALCO_FA,pacific,0.172
ALCO_FA,canadian,0.154
ALCO_FA,units,0.144
ALCO_FA,numbers,0.123
ALCO_FA,hp,0.115
ALCO_FA,missouri,0.114
ASCII,bit,0.37
ASCII,character,0.367
ASCII,characters,0.361
ASCII,codes,0.284
ASCII,control,0.255
ASCII,systems,0.178
ASCII,iso,0.157
ASCII,text,0.141
ASCII,terminal,0.121
ASCII,dec,0.12
AT%26T,bell,0.561
AT%26T,merger,0.411
AT%26T,telephone,0.323
AT%26T,company,0.154
AT%26T,communications,0.153
AT%26T,texas,0.141
AT%26T,bowl,0.121
AT%26T,cotton,0.113
AT%26T,nevada,0.107
AT%26T,customers,0.1
ATLAS_experiment,particles,0.597
ATLAS_experiment,atlas,0.38
ATLAS_experiment,particle,0.25
ATLAS_experiment,energy,0.208
ATLAS_experiment,momentum,0.154
ATLAS_experiment,inner,0.146
ATLAS_experiment,physics,0.127
ATLAS_experiment,proton,0.112
ATLAS_experiment,measurements,0.107
ATLAS_experiment,quarks,0.105
A_Christmas_Carol,scrooge,0.767
A_Christmas_Carol,christmas,0.404
A_Christmas_Carol,carol,0.359
A_Christmas_Carol,marley,0.167
A_Christmas_Carol,ghost,0.111
A_Christmas_Carol,dickens,0.097
A_Christmas_Carol,starring,0.083
A_Christmas_Carol,story,0.072
A_Christmas_Carol,adaptation,0.058
A_Christmas_Carol,bob,0.055
A_Tale_of_a_Tub,swift,0.771
A_Tale_of_a_Tub,tale,0.411
A_Tale_of_a_Tub,temple,0.14
A_Tale_of_a_Tub,jonathan,0.135
A_Tale_of_a_Tub,edition,0.113
A_Tale_of_a_Tub,satire,0.108
A_Tale_of_a_Tub,narrator,0.097
A_Tale_of_a_Tub,parody,0.096
A_Tale_of_a_Tub,work,0.085
A_Tale_of_a_Tub,church,0.081
A_Wrinkle_in_Time,mrs,0.591
A_Wrinkle_in_Time,wallace,0.345
A_Wrinkle_in_Time,charles,0.232
A_Wrinkle_in_Time,calvin,0.185
A_Wrinkle_in_Time,sandy,0.178
A_Wrinkle_in_Time,planet,0.155
A_Wrinkle_in_Time,dr,0.147
A_Wrinkle_in_Time,chapter,0.146
A_Wrinkle_in_Time,isbn,0.144
A_Wrinkle_in_Time,novel,0.136
A_cappella,vocal,0.391
A_cappella,music,0.303
A_cappella,singing,0.269
A_cappella,instruments,0.26
A_cappella,college,0.227
A_cappella,instrumental,0.171
A_cappella,groups,0.17
A_cappella,university,0.144
A_cappella,songs,0.133
A_cappella,mn,0.119
Aachen,city,0.266
Aachen,charlemagne,0.205
Aachen,flag,0.181
Aachen,century,0.168
Aachen,la,0.167
Aachen,th,0.156
Aachen,germany,0.14
Aachen,springs,0.139
Aachen,german,0.133
Aachen,engineering,0.132
Aardvark,pig,0.282
Aardvark,ants,0.226
Aardvark,teeth,0.165
Aardvark,thick,0.145
Aardvark,pulp,0.144
Aardvark,thin,0.139
Aardvark,species,0.137
Aardvark,jaw,0.135
Aardvark,dig,0.135
Aardvark,genus,0.129
Aarhus,city,0.661
Aarhus,denmark,0.274
Aarhus,danish,0.2
Aarhus,town,0.124
Aarhus,centre,0.109
Aarhus,largest,0.102
Aarhus,council,0.097
Aarhus,peninsula,0.094
Aarhus,viking,0.087
Aarhus,municipality,0.084
Abac%C3%A1,plant,0.42
Abac%C3%A1,leaves,0.276
Abac%C3%A1,trunk,0.269
Abac%C3%A1,fibre,0.253
Abac%C3%A1,manila,0.235
Abac%C3%A1,philippines,0.23
Abac%C3%A1,fibers,0.22
Abac%C3%A1,sumatra,0.158
Abac%C3%A1,banana,0.152
Abac%C3%A1,drying,0.136
Abacus,beads,0.658
Abacus,chinese,0.277
Abacus,counting,0.215
Abacus,wire,0.161
Abacus,decimal,0.155
Abacus,blind,0.153
Abacus,multiplication,0.13
Abacus,japanese,0.113
Abacus,roman,0.113
Abacus,tool,0.105
Abadan,iran,0.37
Abadan,oil,0.333
Abadan,cinema,0.233
Abadan,persian,0.195
Abadan,rex,0.162
Abadan,city,0.156
Abadan,managers,0.155
Abadan,iranian,0.149
Abadan,river,0.148
Abadan,persia,0.139
Abbadid,mu,0.461
Abbadid,al,0.45
Abbadid,muhammad,0.227
Abbadid,ibn,0.224
Abbadid,princes,0.175
Abbadid,berber,0.166
Abbadid,castile,0.159
Abbadid,arab,0.106
Abbadid,caliphate,0.105
Abbadid,christian,0.103
Abbas_I_of_Persia,shah,0.585
Abbas_I_of_Persia,persian,0.298
Abbas_I_of_Persia,abbas,0.193
Abbas_I_of_Persia,ottomans,0.173
Abbas_I_of_Persia,religious,0.119
Abbas_I_of_Persia,muhammad,0.114
Abbas_I_of_Persia,provinces,0.111
Abbas_I_of_Persia,sultan,0.111
